experiment,native_language,speech_version,speech_recording,site,p_n_unique,participant_n,trial_type,trial_number,block_ws,block_cswl,condition_cswl,target_audio_ws,distractor_audio_ws,distractor_audio_type_ws,target_audio_cswl,target_visual,distractor_visual_1,distractor_visual_2,distractor_visual_3,freq_pair,key_pressed,is_correct,rt,chance_level,sona_gift_card,id_quest,age,gender,education,major,born_native,other_native,live_abroad,months_abroad,age_abroad,native_speaker,alternative_native_language,speak_foreign_language,foreign_1,level_1,age_acquisition_1,foreign_2,level_2,age_acquisition_2,foreign_3,level_3,age_acquisition_3,foreign_4,level_4,age_acquisition_4,normal_hearing,hearing_impairment,normal_vision,vision_impairment
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,warm up ws,NA,NA,NA,NA,audio/cabo.wav,audio/guvi.wav,NA,NA,NA,NA,NA,NA,NA,2,1,4.449209386,NA,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,warm up ws,NA,NA,NA,NA,audio/pato.wav,audio/tibo.wav,NA,NA,NA,NA,NA,NA,NA,2,0,3.082781778,NA,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,warm up ws,NA,NA,NA,NA,audio/bola.wav,audio/fabu.wav,NA,NA,NA,NA,NA,NA,NA,1,1,0.700283038,NA,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,warm up ws,NA,NA,NA,NA,audio/tela.wav,audio/bafi.wav,NA,NA,NA,NA,NA,NA,NA,1,0,3.832584495,NA,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,test ws,5,1,NA,NA,audio/pp3.wav,audio/pp4.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,5.715274816,0.5,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,test ws,6,1,NA,NA,audio/pp2.wav,audio/pp6.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,2.083157527,0.5,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,test ws,7,1,NA,NA,audio/pp1.wav,audio/pp5.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,4.166123474,0.5,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,test ws,8,3,NA,NA,audio/pp1.wav,audio/pp4.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,1.866550198,0.5,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,test ws,9,3,NA,NA,audio/pp3.wav,audio/pp6.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,2.215989823,0.5,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
1,brazilian-portuguese,L_balanced,mbrola,lab,289,1,test ws,10,3,NA,NA,audio/pp2.wav,audio/pp5.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,3.299418757,0.5,NA,328,24,male,undergraduate,math,no,Japan,yes,24,10,yes,NA,yes,Japanese,3,10,English,3,16,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
