experiment,native_language,speech_version,speech_recording,site,p_n_unique,participant_n,trial_type,trial_number,block_cswl,condition_cswl,target_audio_cswl,target_visual,distractor_visual_1,distractor_visual_2,distractor_visual_3,key_pressed,is_correct,rt,chance_level,id_quest,age,gender,education,major,born_native,other_native,live_abroad,months_abroad,age_abroad,native_speaker,alternative_native_language,speak_foreign_language,foreign_1,level_1,age_acquisition_1,foreign_2,level_2,age_acquisition_2,foreign_3,level_3,age_acquisition_3,foreign_4,level_4,age_acquisition_4,normal_hearing,hearing_impairment,normal_vision,vision_impairment,stimuli_set_pp,block_pp
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,warm up cswl,NA,NA,NA,audio/bola.wav,img/bola.jpg,img/casa.jpg,img/pato.jpg,img/gato.jpg,2,1,2.130602317,NA,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,warm up cswl,NA,NA,NA,audio/pato.wav,img/pato.jpg,img/bola.jpg,img/gato.jpg,img/casa.jpg,4,1,1.91331419,NA,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,3,NA,NA,audio/pp1.wav,img/07.jpg,img/10.jpg,img/12.jpg,img/09.jpg,4,0,4.214043224,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,4,NA,NA,audio/pp4.wav,img/10.jpg,img/11.jpg,img/12.jpg,img/07.jpg,2,1,3.814216103,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,5,NA,NA,audio/pp2.wav,img/08.jpg,img/10.jpg,img/09.jpg,img/11.jpg,3,1,1.863511701,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,6,NA,NA,audio/p5.wav,img/05.jpg,img/02.jpg,img/03.jpg,img/04.jpg,2,1,3.303668319,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,7,NA,NA,audio/p2.wav,img/02.jpg,img/03.jpg,img/04.jpg,img/05.jpg,2,0,3.377251931,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,8,NA,NA,audio/p1.wav,img/01.jpg,img/05.jpg,img/06.jpg,img/03.jpg,4,1,5.617554857,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP+,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,9,NA,NA,audio/pp6.wav,img/12.jpg,img/09.jpg,img/10.jpg,img/08.jpg,4,1,1.804326878,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,10,NA,NA,audio/pp5.wav,img/11.jpg,img/09.jpg,img/10.jpg,img/08.jpg,2,1,1.701049362,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,11,NA,NA,audio/pp1.wav,img/07.jpg,img/11.jpg,img/12.jpg,img/09.jpg,3,0,5.003020251,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
1,brazilian-portuguese,L3_v1,mbrola,lab,258,1,test cswl,12,NA,NA,audio/pp6.wav,img/12.jpg,img/07.jpg,img/10.jpg,img/08.jpg,1,1,2.900126466,0.25,214,24,female,undergraduate,chemical engineering,yes,NA,yes,2,24,yes,NA,yes,English,7,7,Spanish,3,15,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,PP-,NA
