experiment,native_language,speech_version,speech_recording,site,p_n_unique,participant_n,trial_type,trial_number,block_ws,block_cswl,condition_cswl,target_audio_ws,distractor_audio_ws,distractor_audio_type_ws,target_audio_cswl,target_visual,distractor_visual_1,distractor_visual_2,distractor_visual_3,freq_pair,key_pressed,is_correct,rt,chance_level,sona_gift_card,id_quest,age,gender,education,major,born_native,other_native,live_abroad,months_abroad,age_abroad,native_speaker,alternative_native_language,speak_foreign_language,foreign_1,level_1,age_acquisition_1,foreign_2,level_2,age_acquisition_2,foreign_3,level_3,age_acquisition_3,foreign_4,level_4,age_acquisition_4,normal_hearing,hearing_impairment,normal_vision,vision_impairment
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,warm up ws,NA,NA,NA,NA,audio/cabo.wav,audio/guvi.wav,NA,NA,NA,NA,NA,NA,NA,2,1,1.288461253,NA,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,warm up ws,NA,NA,NA,NA,audio/pato.wav,audio/tibo.wav,NA,NA,NA,NA,NA,NA,NA,1,1,1.252607721,NA,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,warm up ws,NA,NA,NA,NA,audio/bola.wav,audio/sibu.wav,NA,NA,NA,NA,NA,NA,NA,1,1,2.322930387,NA,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,warm up ws,NA,NA,NA,NA,audio/tela.wav,audio/bafi.wav,NA,NA,NA,NA,NA,NA,NA,2,1,0.65493862,NA,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,5,2,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.717737751,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,6,2,NA,NA,audio/p4.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,2.038488337,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,7,2,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.634879093,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,8,5,NA,NA,audio/p4.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.986006055,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,9,5,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,1.720484882,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,10,5,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.618672848,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,11,1,NA,NA,audio/p5.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.817941306,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,12,1,NA,NA,audio/p4.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.652051225,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,13,1,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.501701419,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,14,4,NA,NA,audio/p6.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,2.672522992,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,15,4,NA,NA,audio/p4.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,1.018855875,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,16,4,NA,NA,audio/p5.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.718543987,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,17,6,NA,NA,audio/p4.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.651659511,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,18,6,NA,NA,audio/p5.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.669620203,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,19,6,NA,NA,audio/p6.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.501508128,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,20,3,NA,NA,audio/p6.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,1.504002668,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,21,3,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.499441223,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,test ws,22,3,NA,NA,audio/p4.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.38460227,0.5,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,self evaluation ws,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,11.34620174,NA,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,113,1,puzzle concentration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4.36446862,NA,NA,1,20,female,undergraduate,psychology,yes,NA,yes,?,?,yes,NA,yes,Spanish,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,warm up ws,NA,NA,NA,NA,audio/bola.wav,audio/sibu.wav,NA,NA,NA,NA,NA,NA,NA,1,1,3.040986299,NA,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,warm up ws,NA,NA,NA,NA,audio/tela.wav,audio/bafi.wav,NA,NA,NA,NA,NA,NA,NA,2,1,0.903649156,NA,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,warm up ws,NA,NA,NA,NA,audio/pato.wav,audio/tibo.wav,NA,NA,NA,NA,NA,NA,NA,1,1,2.73963497,NA,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,warm up ws,NA,NA,NA,NA,audio/cabo.wav,audio/guvi.wav,NA,NA,NA,NA,NA,NA,NA,2,1,1.036185377,NA,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,5,3,NA,NA,audio/p4.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,0.670679598,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,6,3,NA,NA,audio/p6.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,2.5211748,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,7,3,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.520089746,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,8,4,NA,NA,audio/p5.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,0.417289589,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,9,4,NA,NA,audio/p4.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.401304573,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,10,4,NA,NA,audio/p6.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.634372773,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,11,2,NA,NA,audio/p4.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,3.30807946,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,12,2,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.534181192,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,13,2,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.768214707,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,14,5,NA,NA,audio/p4.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,0.784904466,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,15,5,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.434768478,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,16,5,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,2.788563886,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,17,1,NA,NA,audio/p5.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,0.435535941,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,18,1,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.333992462,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,19,1,NA,NA,audio/p4.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,1,0.533930312,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,20,6,NA,NA,audio/p5.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,2.654958576,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,21,6,NA,NA,audio/p4.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,3.659773752,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,test ws,22,6,NA,NA,audio/p6.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,1,1,0.351123541,0.5,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,self evaluation ws,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4.277040534,NA,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,114,2,puzzle concentration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3.658807866,NA,NA,2,19,male,undergraduate,psychology,yes,NA,no,NA,NA,yes,NA,yes,Spanish,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,warm up ws,NA,NA,NA,NA,audio/cabo.wav,audio/guvi.wav,NA,NA,NA,NA,NA,NA,NA,2,1,4.048604483,NA,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,warm up ws,NA,NA,NA,NA,audio/tela.wav,audio/bafi.wav,NA,NA,NA,NA,NA,NA,NA,2,1,4.010258121,NA,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,warm up ws,NA,NA,NA,NA,audio/bola.wav,audio/sibu.wav,NA,NA,NA,NA,NA,NA,NA,1,1,3.441100335,NA,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,warm up ws,NA,NA,NA,NA,audio/pato.wav,audio/tibo.wav,NA,NA,NA,NA,NA,NA,NA,1,1,1.053489791,NA,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,5,5,NA,NA,audio/p4.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,3.308263629,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,6,5,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,3.058521636,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,7,5,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,2.940567216,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,8,2,NA,NA,audio/p6.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,4.713297754,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,9,2,NA,NA,audio/p5.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,1.504856229,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,10,2,NA,NA,audio/p4.wav,audio/pp3.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,4.893076296,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,11,6,NA,NA,audio/p4.wav,audio/pp1.wav,part_word,NA,NA,NA,NA,NA,NA,1,0,2.890581755,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
Exp1 - ws only,brazilian-portuguese,L_aligned,mbrola,lab,115,3,test ws,12,6,NA,NA,audio/p6.wav,audio/pp2.wav,part_word,NA,NA,NA,NA,NA,NA,2,0,1.105348865,0.5,NA,3,23,female,undergraduate,physiotherapy,yes,NA,no,NA,NA,yes,NA,yes,Spanish,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA
